age,workclass,education,marital-status,occupation,gender,hours-per-week,salary
36,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,45,54325
24,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Male,45,32099
40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Male,37,27436
33,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Male,50,104612
37,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Male,40,105598
34,Private,Masters,Never-married,Exec-managerial,Male,40,40362
56,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Male,40,101524
28,?,HS-grad,Married-civ-spouse,?,Female,38,97630
37,Private,Bachelors,Widowed,Exec-managerial,Female,55,31061
44,Private,HS-grad,Divorced,Sales,Female,40,34522
64,?,Some-college,Married-civ-spouse,?,Male,8,34675
54,Private,HS-grad,Divorced,Handlers-cleaners,Male,45,30276
23,Private,HS-grad,Never-married,Machine-op-inspct,Male,50,22621
34,State-gov,Bachelors,Married-spouse-absent,Farming-fishing,Male,40,39352
22,Private,HS-grad,Never-married,Other-service,Female,45,20316
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,92738
39,Private,Bachelors,Separated,Prof-specialty,Male,50,66630
47,Private,Some-college,Divorced,Adm-clerical,Female,37,20011
79,?,7th-8th,Widowed,?,Male,40,41509
26,Private,HS-grad,Never-married,Prof-specialty,Female,55,38264
31,Private,Some-college,Divorced,Exec-managerial,Female,40,48667
44,Private,Some-college,Never-married,Transport-moving,Male,45,43057
42,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Female,50,104723
19,Private,HS-grad,Never-married,Machine-op-inspct,Female,40,39074
27,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Male,40,63247
51,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Male,40,117873
28,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,50,36842
57,Private,Bachelors,Divorced,Craft-repair,Male,45,43438
45,Local-gov,Bachelors,Divorced,Prof-specialty,Female,40,22479
50,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Male,40,118892
34,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Male,54,48244
45,Private,7th-8th,Married-civ-spouse,Craft-repair,Male,40,26965
73,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Male,20,21182
34,Private,Bachelors,Married-civ-spouse,Prof-specialty,Female,50,117990
31,Private,Some-college,Married-civ-spouse,Sales,Male,55,84836
19,Private,11th,Never-married,Sales,Male,12,38925
25,Private,Some-college,Never-married,Other-service,Female,50,46065
38,Federal-gov,Assoc-voc,Divorced,Craft-repair,Female,40,23227
39,Private,Bachelors,Married-civ-spouse,Transport-moving,Male,40,20314
23,Private,Bachelors,Never-married,Tech-support,Female,32,31253
49,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,40,26135
33,Federal-gov,HS-grad,Never-married,Other-service,Male,32,25825
21,Private,5th-6th,Never-married,Machine-op-inspct,Male,38,40366
31,Private,Assoc-voc,Separated,Craft-repair,Male,40,41635
23,Private,Bachelors,Never-married,Exec-managerial,Female,45,29955
34,Private,Bachelors,Married-civ-spouse,Adm-clerical,Male,40,46157
25,Private,HS-grad,Never-married,Machine-op-inspct,Female,40,34200
39,Private,HS-grad,Never-married,Craft-repair,Male,40,39100
52,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Male,40,112502
63,Local-gov,9th,Married-civ-spouse,Transport-moving,Male,40,119291
41,Private,Some-college,Married-civ-spouse,Craft-repair,Male,40,37262
46,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,38,85842
53,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Male,40,45602
25,?,9th,Separated,?,Female,40,21708
77,?,Some-college,Married-civ-spouse,?,Male,35,40284
18,Private,12th,Never-married,Priv-house-serv,Male,40,26241
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,50,27355
55,Private,Masters,Never-married,Exec-managerial,Female,50,34771
34,Private,HS-grad,Married-civ-spouse,Tech-support,Male,40,51910
80,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Male,30,48816
34,Private,Assoc-voc,Divorced,Tech-support,Female,60,41621
52,Private,Some-college,Married-civ-spouse,Tech-support,Male,40,20978
42,Private,HS-grad,Never-married,Other-service,Female,28,30246
26,Private,Some-college,Never-married,Sales,Female,40,20278
31,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,40,40278
25,Local-gov,HS-grad,Never-married,Other-service,Female,35,22839
55,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,60,35778
19,Private,Some-college,Never-married,Other-service,Female,12,20657
62,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,Male,32,47847
22,Federal-gov,Some-college,Never-married,Adm-clerical,Female,20,32540
39,?,HS-grad,Married-civ-spouse,?,Female,50,36062
35,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Male,40,34661
28,Private,HS-grad,Married-civ-spouse,Sales,Female,40,39556
47,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,70,65993
44,State-gov,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,40,38221
21,Private,Some-college,Never-married,Sales,Male,15,36954
35,Private,Assoc-voc,Never-married,Craft-repair,Male,50,46956
24,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,104937
42,Federal-gov,Bachelors,Never-married,Prof-specialty,Male,40,48928
28,Private,Bachelors,Never-married,Tech-support,Male,50,37589
21,Private,Some-college,Never-married,Machine-op-inspct,Male,35,48370
62,Federal-gov,Some-college,Divorced,Tech-support,Male,40,31194
39,Private,HS-grad,Never-married,Other-service,Female,40,47257
30,State-gov,HS-grad,Never-married,Other-service,Male,40,26079
72,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Male,20,27128
50,Private,Some-college,Married-civ-spouse,Exec-managerial,Female,50,47094
28,Local-gov,Masters,Never-married,Prof-specialty,Male,40,22000
29,Private,Some-college,Never-married,Prof-specialty,Female,40,34966
26,Private,Bachelors,Never-married,Adm-clerical,Female,40,39464
27,Private,Masters,Never-married,Exec-managerial,Female,40,33178
29,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Male,40,57764
61,?,HS-grad,Married-civ-spouse,?,Male,40,34363
29,Private,10th,Married-civ-spouse,Craft-repair,Male,25,47183
21,?,Some-college,Never-married,?,Female,30,32989
31,Private,11th,Married-civ-spouse,Sales,Female,20,29924
25,Private,HS-grad,Married-civ-spouse,Exec-managerial,Male,75,47503
58,Private,10th,Married-civ-spouse,Transport-moving,Male,40,64217
64,Private,Some-college,Married-civ-spouse,Exec-managerial,Female,40,109455
46,State-gov,Masters,Never-married,Exec-managerial,Male,38,32451
53,?,HS-grad,Married-civ-spouse,?,Male,35,93314
19,Private,HS-grad,Never-married,Other-service,Female,35,20621
42,Private,HS-grad,Divorced,Other-service,Male,52,29758
18,Private,11th,Never-married,Handlers-cleaners,Male,24,29147
58,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,Male,50,78406
20,Private,Some-college,Never-married,Protective-serv,Male,60,39450
35,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Male,40,73724
32,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Male,38,51693
23,Private,HS-grad,Never-married,Handlers-cleaners,Female,25,39465
31,Private,Some-college,Divorced,Tech-support,Female,40,28707
33,Private,Bachelors,Married-civ-spouse,Sales,Male,55,25618
41,Private,Some-college,Never-married,Machine-op-inspct,Female,48,39450
22,Private,HS-grad,Never-married,Machine-op-inspct,Male,40,24096
46,Private,Some-college,Married-civ-spouse,Protective-serv,Male,40,83035
61,Federal-gov,Some-college,Married-civ-spouse,Transport-moving,Male,40,35987
30,Private,HS-grad,Never-married,Exec-managerial,Male,40,30148
42,Private,HS-grad,Married-civ-spouse,Exec-managerial,Male,55,87085
63,Private,10th,Married-civ-spouse,Handlers-cleaners,Male,40,41352
26,Private,Some-college,Married-civ-spouse,Sales,Male,40,41289
42,Private,10th,Divorced,Adm-clerical,Female,40,40479
23,Private,Some-college,Married-civ-spouse,Other-service,Male,40,23581
25,Private,HS-grad,Never-married,Machine-op-inspct,Male,40,47641
30,Private,9th,Married-civ-spouse,Other-service,Male,32,87945
23,Private,HS-grad,Never-married,Sales,Male,40,43897
34,Self-emp-not-inc,Assoc-voc,Never-married,Farming-fishing,Male,60,60126
30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,48,48098
39,Private,Some-college,Married-civ-spouse,Craft-repair,Male,40,82616
30,Private,11th,Never-married,Handlers-cleaners,Male,38,40117
38,Local-gov,Some-college,Divorced,Adm-clerical,Female,38,27974
26,Private,HS-grad,Divorced,Exec-managerial,Female,40,37776
20,Private,Some-college,Never-married,Handlers-cleaners,Male,16,31614
37,Local-gov,Bachelors,Never-married,Prof-specialty,Male,40,29414
33,Private,HS-grad,Married-civ-spouse,Adm-clerical,Female,40,20630
24,Private,Bachelors,Never-married,Adm-clerical,Male,40,21648
42,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,60,92730
51,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Male,84,47396
56,Local-gov,Assoc-acdm,Married-civ-spouse,Tech-support,Male,45,97759
22,Private,Some-college,Never-married,Handlers-cleaners,Male,40,20482
52,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Male,60,33544
44,Private,Bachelors,Divorced,Exec-managerial,Female,45,114736
34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Female,35,33998
51,Private,Some-college,Divorced,Craft-repair,Male,42,109085
20,?,Some-college,Never-married,?,Male,40,42234
19,Private,Some-college,Never-married,Sales,Female,25,45141
37,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,60165
68,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,40,93721
22,Private,Some-college,Divorced,Protective-serv,Male,40,23282
56,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,24640
37,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,34095
52,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,Male,40,28532
26,Private,HS-grad,Separated,Handlers-cleaners,Male,40,20759
33,Private,Masters,Married-civ-spouse,Prof-specialty,Male,50,47719
45,Local-gov,Masters,Divorced,Prof-specialty,Female,42,35005
18,Private,11th,Never-married,Other-service,Male,15,29283
43,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Male,60,69159
64,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Male,50,62873
18,Private,HS-grad,Never-married,Handlers-cleaners,Male,20,33468
20,?,Some-college,Never-married,?,Male,45,30803
57,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,90469
41,Private,HS-grad,Divorced,Adm-clerical,Female,42,46957
34,Private,Masters,Married-civ-spouse,Exec-managerial,Male,50,71571
19,Private,HS-grad,Never-married,Sales,Female,40,39214
44,Private,9th,Divorced,Other-service,Female,55,22639
56,Private,10th,Widowed,Other-service,Female,40,42759
36,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,80,34783
48,Private,Bachelors,Divorced,Exec-managerial,Female,48,33776
29,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,40,72739
33,Private,Bachelors,Never-married,Craft-repair,Male,40,32567
31,Private,5th-6th,Married-civ-spouse,Other-service,Male,40,20768
39,Private,Masters,Married-civ-spouse,Prof-specialty,Male,45,113881
66,Private,HS-grad,Married-civ-spouse,Exec-managerial,Male,40,111537
27,Private,Bachelors,Never-married,Prof-specialty,Female,50,65602
39,Private,HS-grad,Divorced,Exec-managerial,Female,40,84567
59,Private,7th-8th,Married-civ-spouse,Craft-repair,Male,50,81644
26,Private,HS-grad,Never-married,Other-service,Female,40,42695
31,Private,Assoc-voc,Divorced,Craft-repair,Male,40,46328
45,?,HS-grad,Widowed,?,Female,40,29483
23,Private,HS-grad,Never-married,Handlers-cleaners,Male,30,43132
36,Local-gov,HS-grad,Divorced,Adm-clerical,Female,40,25408
34,Private,Some-college,Married-civ-spouse,Other-service,Female,12,55166
32,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,84,103114
37,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,50,54779
33,Private,Bachelors,Never-married,Sales,Male,45,22787
50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,80,68584
32,Federal-gov,Assoc-acdm,Never-married,Protective-serv,Male,40,36679
35,Private,Bachelors,Never-married,Adm-clerical,Female,40,48769
37,Private,11th,Married-civ-spouse,Craft-repair,Male,40,36003
44,Private,Some-college,Divorced,Craft-repair,Male,60,41291
57,Private,Some-college,Divorced,Handlers-cleaners,Male,25,31275
29,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Female,40,27057
55,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,50,68752
43,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,25,98819
43,Private,Some-college,Married-civ-spouse,Sales,Male,70,35658
45,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Male,60,89756
33,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Female,8,48044
26,Private,10th,Divorced,Other-service,Female,40,37161
23,Private,Some-college,Married-civ-spouse,Sales,Male,68,42461
41,Private,7th-8th,Separated,Craft-repair,Male,40,22601
24,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,26403
47,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Male,44,35805
34,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Male,45,31926
40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Male,40,65531
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Female,40,42474
24,Private,HS-grad,Never-married,Exec-managerial,Female,40,29960
73,?,Some-college,Married-civ-spouse,?,Male,10,39200
23,Private,HS-grad,Never-married,Craft-repair,Male,15,23193
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Male,40,82320
26,Private,Bachelors,Divorced,Tech-support,Female,40,42596
58,Self-emp-not-inc,Doctorate,Married-AF-spouse,Exec-managerial,Female,35,82162
52,Private,HS-grad,Widowed,Adm-clerical,Female,35,33156
29,Private,11th,Married-civ-spouse,Transport-moving,Male,99,117695
47,Private,11th,Married-civ-spouse,Other-service,Male,35,43648
49,Private,HS-grad,Divorced,Adm-clerical,Female,37,37349
40,Private,11th,Widowed,Adm-clerical,Female,40,47279
62,Self-emp-not-inc,HS-grad,Married-civ-spouse,Adm-clerical,Female,40,40505
49,Private,HS-grad,Married-civ-spouse,Exec-managerial,Male,55,82087
50,Private,Bachelors,Divorced,Prof-specialty,Female,50,107411
31,Private,HS-grad,Never-married,Transport-moving,Male,40,28411
48,Local-gov,Masters,Never-married,Prof-specialty,Female,50,25964
24,Private,HS-grad,Never-married,Craft-repair,Female,40,42929
41,?,HS-grad,Never-married,?,Female,40,45606
37,Private,HS-grad,Separated,Machine-op-inspct,Male,60,30900
45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,45,108049
63,?,HS-grad,Married-civ-spouse,?,Male,16,45351
36,Private,Masters,Married-civ-spouse,Exec-managerial,Male,45,31117
45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,27981
41,Private,Bachelors,Never-married,Sales,Female,40,27611
26,Private,Assoc-acdm,Never-married,Tech-support,Female,20,21055
17,Private,11th,Never-married,Sales,Female,25,23723
27,Private,HS-grad,Married-civ-spouse,Other-service,Male,36,43320
43,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,65,21305
35,Private,HS-grad,Never-married,Transport-moving,Male,55,39390
38,Private,Bachelors,Divorced,Adm-clerical,Female,40,28916
26,Private,HS-grad,Never-married,Machine-op-inspct,Male,40,48851
28,Private,Some-college,Never-married,Exec-managerial,Female,40,38159
